feature,corr_with_label,abs_corr_with_label,mutual_info,f_classif,p_value_f_classif,score_combined
word_tfidf_13,0.21941847079733304,0.21941847079733304,0.03871273744698134,22.609077971670466,2.6823742742810366e-06,0.3112900752610663
char_tfidf_61,-0.11138277731713925,0.11138277731713925,0.015011577082122196,5.615199878879466,0.018229158967655295,0.30438681735153356
lsa_18,0.055572583994818604,0.055572583994818604,0.0,1.3847520515670277,0.2399196023697846,0.2925075681574673
word_tfidf_25,-0.04912485651050343,0.04912485651050343,0.009808704239002264,1.0813329610680706,0.2989616841840247,0.28975974280352507
lsa_14,-0.1066031555028383,0.1066031555028383,0.0,5.138203788976055,0.02388187482616165,0.2868780411918878
word_tfidf_51,-0.060938244764767335,0.060938244764767335,0.013446376559823836,1.6661079862118482,0.19744784727781464,0.2797517344266582
char_tfidf_94,-0.03898943773349023,0.03898943773349023,0.0,0.6805533469219368,0.40983625961100245,0.27959736834627086
word_tfidf_11,0.22488147491364716,0.22488147491364716,0.040652595782277645,23.809633048521768,1.4818857591639645e-06,0.2792085324330695
word_tfidf_92,0.23752509463131402,0.23752509463131402,0.02045406304507491,26.726799375290028,3.541364010907669e-07,0.275107375150395
char_tfidf_119,0.1604138705590046,0.1604138705590046,0.01888652253077483,11.806283087551224,0.0006454649516734414,0.27403965274424785
char_tfidf_16,-0.033661277965137786,0.033661277965137786,0.03845377687810325,0.5070620331853045,0.4767849368979047,0.2725531953932138
lsa_24,0.07395678151935214,0.07395678151935214,0.017553086685808017,2.4583599322039866,0.1176083832296262,0.27211777013140703
char_tfidf_118,-0.10974006062585612,0.10974006062585612,0.0,5.448786856249394,0.02002405224526151,0.25981824255503877
char_tfidf_20,-0.036955980534147795,0.036955980534147795,0.0,0.6113227008811948,0.4347041689026696,0.25509131221053066
word_tfidf_95,-0.2543984339296901,0.2543984339296901,0.033187933635210776,30.931008149408488,4.6092704481117705e-08,0.2550373319476628
lsa_11,0.11626992696881466,0.11626992696881466,0.014935054224788136,6.125668119648106,0.013693138359725559,0.25258232122987706
char_tfidf_2,-0.10471028068364495,0.10471028068364495,0.025440105819584335,4.955348209062252,0.026507929300672844,0.2502227238038079
word_tfidf_46,-0.0006875408762602634,0.0006875408762602634,0.01305761624146129,0.0002113025679961909,0.9884086444712904,0.25017533705287026
word_tfidf_88,-0.1047193474640619,0.1047193474640619,0.010786034316281556,4.956215921035557,0.026494780693587065,0.24712421896423972
lsa_8,-0.17920092566774462,0.17920092566774462,0.0161434586122553,14.830758092608889,0.0001347775369319081,0.24489598199947768
word_tfidf_26,0.23323771343102023,0.23323771343102023,0.030616077778742756,25.715651538952432,5.806870640379259e-07,0.244066978741773
lsa_13,0.00916943763151085,0.00916943763151085,0.025055320932442227,0.03758628835773686,0.8463643070878466,0.23563642866729995
